,row_number,target_position,grasp,trial_no,block
0,0,1,3,0,0
1,1,1,3,1,0
2,2,1,3,2,0
3,3,1,3,3,0
4,4,1,3,4,0
5,5,3,1,0,1
6,6,3,1,1,1
7,7,3,1,2,1
8,8,3,1,3,1
9,9,3,1,4,1
10,10,5,4,0,2
11,11,5,4,1,2
12,12,5,4,2,2
13,13,5,4,3,2
14,14,5,4,4,2
15,15,7,2,0,3
16,16,7,2,1,3
17,17,7,2,2,3
18,18,7,2,3,3
19,19,7,2,4,3
20,20,9,5,0,4
21,21,9,5,1,4
22,22,9,5,2,4
23,23,9,5,3,4
24,24,9,5,4,4
25,25,1,4,0,5
26,26,1,4,1,5
27,27,1,4,2,5
28,28,1,4,3,5
29,29,1,4,4,5
30,30,3,5,0,6
31,31,3,5,1,6
32,32,3,5,2,6
33,33,3,5,3,6
34,34,3,5,4,6
35,35,5,3,0,7
36,36,5,3,1,7
37,37,5,3,2,7
38,38,5,3,3,7
39,39,5,3,4,7
40,40,7,1,0,8
41,41,7,1,1,8
42,42,7,1,2,8
43,43,7,1,3,8
44,44,7,1,4,8
45,45,9,2,0,9
46,46,9,2,1,9
47,47,9,2,2,9
48,48,9,2,3,9
49,49,9,2,4,9
50,50,1,5,0,10
51,51,1,5,1,10
52,52,1,5,2,10
53,53,1,5,3,10
54,54,1,5,4,10
55,55,3,4,0,11
56,56,3,4,1,11
57,57,3,4,2,11
58,58,3,4,3,11
59,59,3,4,4,11
60,60,5,2,0,12
61,61,5,2,1,12
62,62,5,2,2,12
63,63,5,2,3,12
64,64,5,2,4,12
65,65,7,3,0,13
66,66,7,3,1,13
67,67,7,3,2,13
68,68,7,3,3,13
69,69,7,3,4,13
70,70,9,1,0,14
71,71,9,1,1,14
72,72,9,1,2,14
73,73,9,1,3,14
74,74,9,1,4,14
75,75,1,6,0,15
76,76,1,6,1,15
77,77,1,6,2,15
78,78,1,6,3,15
79,79,1,6,4,15
80,80,3,6,0,16
81,81,3,6,1,16
82,82,3,6,2,16
83,83,3,6,3,16
84,84,3,6,4,16
85,85,5,6,0,17
86,86,5,6,1,17
87,87,5,6,2,17
88,88,5,6,3,17
89,89,5,6,4,17
90,90,7,6,0,18
91,91,7,6,1,18
92,92,7,6,2,18
93,93,7,6,3,18
94,94,7,6,4,18
95,95,9,6,0,19
96,96,9,6,1,19
97,97,9,6,2,19
98,98,9,6,3,19
99,99,9,6,4,19
100,100,1,1,0,20
101,101,1,1,1,20
102,102,1,1,2,20
103,103,1,1,3,20
104,104,1,1,4,20
105,105,3,2,0,21
106,106,3,2,1,21
107,107,3,2,2,21
108,108,3,2,3,21
109,109,3,2,4,21
110,110,5,5,0,22
111,111,5,5,1,22
112,112,5,5,2,22
113,113,5,5,3,22
114,114,5,5,4,22
115,115,7,4,0,23
116,116,7,4,1,23
117,117,7,4,2,23
118,118,7,4,3,23
119,119,7,4,4,23
120,120,9,3,0,24
121,121,9,3,1,24
122,122,9,3,2,24
123,123,9,3,3,24
124,124,9,3,4,24
125,125,1,2,0,25
126,126,1,2,1,25
127,127,1,2,2,25
128,128,1,2,3,25
129,129,1,2,4,25
130,130,3,3,0,26
131,131,3,3,1,26
132,132,3,3,2,26
133,133,3,3,3,26
134,134,3,3,4,26
135,135,5,1,0,27
136,136,5,1,1,27
137,137,5,1,2,27
138,138,5,1,3,27
139,139,5,1,4,27
140,140,7,5,0,28
141,141,7,5,1,28
142,142,7,5,2,28
143,143,7,5,3,28
144,144,7,5,4,28
145,145,9,4,0,29
146,146,9,4,1,29
147,147,9,4,2,29
148,148,9,4,3,29
149,149,9,4,4,29
